"","Site","Context","Pit","Layer","No.","Position","New_Layer","Part","Weight","H_Rim","Hight","Thick1_Rim","Thick2_Rim","Thick1_Neck","Thick2_Neck","Thick1_Body","Thick2_Body","Diameter1_Rim","Diameter2_Rim","Diameter1_Neck","Diameter2_Neck","Diameter1_Body","Diameter2_Body","rim_form","紋飾/口緣","紋飾/腹片","紋飾/其他","特殊記載","紋飾特色","temper","texture","abundence","fireing core","sherd texture","curventure","緣內抹修","內頸","備註","出土說明","腹部","Grid","phase","layer2","filename"
"1","KWL","P","P040","L4","145","D",NA,"pot","165.5","25","146+","2.5","2","4.5","4",1.3,"2.2999999999999998","120",NA,"102",NA,"160",NA,"平唇,口微歛,外口微土溢,器薄","菱格紋","菱格紋.直行紋.菱格紋.直行紋","繫痕細多","g93,似^X^相連,x左撇","紋飾規整,橫菱格,直行間距4.5mm","sand","fine","medium","4","fine","6.6",NA,"圓弧","內外腹煙炱痕,口內外稍有,內腹指壓痕明顯,有灰燼,口兩層,質地脆",NA,"推測","AT2P8","post-e","04","P04004145"
"2","KWL","P","P040","L4","181","D",NA,"rim","60.5","23","71+","3","2.5","3","3.5",1.7,"na","128",NA,"110",NA,"159+",NA,"平唇,口微歛,外口微土溢,缺下腹及底,器薄","編織紋","直行紋.折線紋.直行紋.折線紋","繫痕細多",NA,"紋飾細緻,直行間距2mm,折線窄約6mm","sand","fine","medium","1","fine","na","稍微","圓弧","內外腹煙炱痕,內腹指壓痕明顯","陶片堆","腹圍不足","AT2P8","post-e","04","P04004181"
"3","KWL","P","P041","L1","024","A",NA,"pot or steamer","125.5","22","91+","5.5",NA,"6",NA,3,NA,"150",NA,"140",NA,"230+",NA,"平唇外翻折,口近直,頸厚,缺底",NA,NA,NA,NA,"環頸一圈草莖紋壓痕深",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AT2P9sec","ch-con","01","P04101024"
"4","KWL","P","P041","L1","024","A",NA,"pot or steamer","125.5","22","91+","5.5",NA,"6",NA,3,NA,"150",NA,"140",NA,"230+",NA,"平唇外翻折,口近直,頸厚,缺底",NA,NA,NA,NA,"環頸一圈草莖紋壓痕深",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AT2P9rec","ch-con","01","P04101024"
"5","KWL","P","P041","L4","133","C",NA,"pot","95.5","24","90+","1.5","2","4","3.5",1.5,"2","114",NA,"104",NA,"150",NA,"平唇,口不圓,器薄","折線紋","平行紋.直行紋.折線紋.直行紋.折線紋","繫痕細多",NA,"紋飾間距皆較大,約4-6mm","sand","fine","medium","4","fine","6.8","稍微","圓弧角","無燒煮使用痕,底露胎一處",NA,"推測","AT2P9sec","post-e","04","P04104133"
"6","KWL","P","P041","L4","133","C",NA,"pot","95.5","24","90+","1.5","2","4","3.5",1.5,"2","114",NA,"104",NA,"150",NA,"平唇,口不圓,器薄","折線紋","平行紋.直行紋.折線紋.直行紋.折線紋","繫痕細多",NA,"紋飾間距皆較大,約4-6mm","sand","fine","medium","4","fine","6.8","稍微","圓弧角","無燒煮使用痕,底露胎一處",NA,"推測","AT2P9rec","post-e","04","P04104133"
"7","KWL","P","P042","L1","647","D",NA,"pot","127","18","55+","3","2.2999999999999998","4","4.5",2,"na","115",NA,"100",NA,"150",NA,"平唇,口不圓","菱格紋","正方格紋.折線紋","繫痕細多",NA,"菱格與方格皆小","sand","fine","medium","4","fine","8.9","稍微","抹平","內外腹略煙炱痕,內腹指壓痕明顯",NA,"有","AT2P10","post-e","01","P04201647"
"8","KWL","P","P042","L1","897","D",NA,"pot or steamer","115.5","17","88+","3.5","2.5","4","4.5",2,"1.5","116.5",117,"101",100,"160",NA,"平唇,外口土溢,口不平,缺底","菱格紋","折線紋.直行紋","繫痕細多,部分印到口緣",NA,NA,"sand","fine","medium","4","fine","8.8000000000000007",NA,"折角,部分抹平","內外腹略煙炱痕,內腹指壓痕明顯,內腹有灰燼",NA,"推測","AT2P10","post-e","01","P04201897"
"9","KWL","P","P042","L1","898","C",NA,"pot or steamer","115.5","23","81+","2.2000000000000002","1.6","3","4",2.3,"1.6","116",117,"102",NA,"150",NA,"平唇,缺底","折線紋","平行紋.直行紋.折線紋.直行紋","繫痕細多,部分深",NA,"紋飾深,直行紋間距寬,約6mm","sand","fine","medium","4","fine","8","稍微","圓弧","外及內腹煙炱痕,口內外皆有,內集中上口,色黑,內腹指壓痕明顯",NA,"推測","AT2P10","post-e","01","P04201898"
"10","KWL","P","P042","L2","016",NA,NA,"pot or steamer","117","15.5","58+","3.2","2.2000000000000002","4","3",2.2,"1.6","130",NA,"105",107,"182",NA,"平唇,外侈角度大,器略大,缺底","菱格紋","折線紋.波浪紋.折線紋","繫痕細多",NA,"豎波浪紋","sand","fine","medium","1, 4","fine","na",NA,"圓弧稍抹平","內肩一圈指壓痕明顯,肩二層,應肩頸以上部位另外貼附上去","圖例(2)","推測","AT2P10","pre-e","02","P04202016"
